gene1,gene2,max
MLH1,LIG1,0.565919047619048
EXO1,LIG1,0.565919047619048
MSH3,RFC3,0.565123809523809
POLD4,RFC3,0.5625
MLH3,RFC3,0.5625
PMS1,RFC3,0.5625
POLD4,EXO1,0.559480952380952
MLH3,EXO1,0.559480952380952
PMS1,EXO1,0.559480952380952
POLD4,HMGB1,0.558317482517482
MLH3,HMGB1,0.558317482517482
PMS1,HMGB1,0.558317482517482
POLD2,HMGB1,0.556360339660339
POLD3,HMGB1,0.556360339660339
PMS2,HMGB1,0.555431768231768
POLD2,RFC5,0.553919047619048
POLD1,RFC5,0.552479808426867
MSH3,RPA4,0.5408
MLH3,RFC5,0.5408
POLD3,MSH6,0.525585714285714
MLH1,PMS2,0.525585714285714
POLD2,MLH1,0.52467619047619
POLD1,RFC2,0.521774190188896
RFC1,RPA4,0.521774190188896
PMS1,PMS2,0.520233333333333
MLH1,PMS1,0.516880952380952
POLD2,RFC3,0.516166666666667
POLD3,RFC3,0.516166666666667
PMS1,RFC5,0.516166666666667
HMGB1,RPA4,0.515527006327006
PMS2,LIG1,0.514
POLD3,LIG1,0.508
POLD2,MSH3,0.503885714285714
POLD3,PMS2,0.501
